ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
109,109,Hartola,Päijät-Häme,2780,Hartola,2780,0.5032374100719424,0.49676258992805755,1.0,0.0,0.0,0.0,0.0,0.0,0.03866906474820144,0.03866906474820144,0.03866906474820144,0.03866906474820144,0.027338129496402876,0.025899280575539568,0.033093525179856115,0.02877697841726619,0.03884892086330935,0.053237410071942444,0.0841726618705036,0.09244604316546763,0.10143884892086331,0.10683453237410072,0.10251798561151079,0.06366906474820144,0.04892086330935252,0.05287769784172662,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.46690647482014397,0.02553956834532374,0.4241007194244604,0.08345323741007195
110,110,Hollola,Päijät-Häme,23602,Hollola,23602,0.49093297178205236,0.5090670282179476,1.0,0.0,0.0,0.0,0.0,0.0,0.06875476654520803,0.06875476654520803,0.06875476654520803,0.06875476654520803,0.028980594864841964,0.037242606558766204,0.04842809931361749,0.0600372849758495,0.06575713922548937,0.06541818489958479,0.07376493517498517,0.06957037539191593,0.07257859503431913,0.07368019659350902,0.06808745021608338,0.04177612066774002,0.02995508855181764,0.024362342174392,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4067451910855012,0.030209304296246083,0.4146258791627828,0.14841962545546988
111,111,Heinola,Päijät-Häme,18889,Heinola,18889,0.48398538832124516,0.5160146116787548,1.0,0.0,0.0,0.0,0.0,0.0,0.04592620043411509,0.04592620043411509,0.04592620043411509,0.04592620043411509,0.03997035311556991,0.036211551696754725,0.038646831489226534,0.04357033193922389,0.05002911747577955,0.056011435226851605,0.0729525120440468,0.0835406850547938,0.08729948647360898,0.09603472920747524,0.09026417491661813,0.05971729578061306,0.04341150934406268,0.038593890624172796,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4020858700831172,0.029699825295145324,0.4594737678013659,0.10874053682037164
112,112,Kärkölä,Päijät-Häme,4451,Kärkölä,4451,0.5064030554931476,0.4935969445068524,1.0,0.0,0.0,0.0,0.0,0.0,0.05689732644349584,0.05689732644349584,0.05689732644349584,0.05689732644349584,0.03886767018647495,0.04044035048303752,0.039317007414064256,0.053471130083127386,0.06223320602111885,0.061783868793529546,0.08200404403504831,0.08649741631094136,0.07683666591777129,0.08380139294540552,0.07953268928330712,0.043136373848573356,0.03033026286227814,0.027634239496742305,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4464165356099752,0.030554931476072793,0.4354077735340373,0.08762075937991462
113,113,Lahti,Päijät-Häme,119951,Lahti,119951,0.48343907095397287,0.5165609290460271,1.0,0.0,0.0,0.0,0.0,0.0,0.05810706038298972,0.05810706038298972,0.05810706038298972,0.05810706038298972,0.06284232728364082,0.06701903277171511,0.06175021467099066,0.06109994914590124,0.05914915257063301,0.05543930438262291,0.06509324640895033,0.06355928670873941,0.06465973605889071,0.07207109569740977,0.0677359921968137,0.042550708205850725,0.03033738776667139,0.02634409050362231,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.38771665096581104,0.048253036656634794,0.4006886145175947,0.16334169785995947
114,114,Orimattila,Päijät-Häme,16091,Orimattila,16091,0.5002796594369523,0.49972034056304765,1.0,0.0,0.0,0.0,0.0,0.0,0.06475669628985146,0.06475669628985146,0.06475669628985146,0.06475669628985146,0.03498850288981418,0.04300540674911441,0.048039276614256415,0.05767199055372568,0.06724255795164999,0.06388664470822199,0.07339506556460133,0.07383009135541607,0.06711826486856007,0.07563234106022,0.06960412653035858,0.038965881548691815,0.031632589646386176,0.02964390031694736,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.4363930147287304,0.02753091790441862,0.4303648001988689,0.1057112671679821
115,115,Padasjoki,Päijät-Häme,2963,Padasjoki,2963,0.4994937563280459,0.5005062436719541,1.0,0.0,0.0,0.0,0.0,0.0,0.042018224772190346,0.042018224772190346,0.042018224772190346,0.042018224772190346,0.03408707391157611,0.022949713128585892,0.03239959500506244,0.03644954438069524,0.041511981100236246,0.045899426257171784,0.06547418157273034,0.08504893688828889,0.09854876814039824,0.10698616267296658,0.10057374282821464,0.07019912251096862,0.0539993250084374,0.058386770165372935,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.45426932163347955,0.03408707391157611,0.42490718866014177,0.08673641579480257
116,116,Sysmä,Päijät-Häme,3753,Sysmä,3753,0.48894217958966163,0.5110578204103384,1.0,0.0,0.0,0.0,0.0,0.0,0.03610444977351452,0.03610444977351452,0.03610444977351452,0.03610444977351452,0.02717825739408473,0.026378896882494004,0.030375699440447643,0.02717825739408473,0.03623767652544631,0.04902744471089795,0.07887023714361843,0.08206767918998135,0.10285105249134026,0.10444977351452171,0.10524913402611244,0.07327471356248334,0.06528110844657607,0.05755395683453238,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.451638689048761,0.023980815347721823,0.43591793232081,0.08846256328270717
117,117,MK08 Kymenlaakso,,173388,MK08 Kymenlaakso,173388,0.4943594712436847,0.5056405287563153,1.0,0.0,0.0,0.0,0.0,0.0,0.05379553371628948,0.05379553371628948,0.05379553371628948,0.05379553371628948,0.04533185687590837,0.04908644196830231,0.05101852492675387,0.05537868825985651,0.05728770157104298,0.0577144900454472,0.0706680969847971,0.07488984243430918,0.07698918033543267,0.07986711883175306,0.07543774655685515,0.04791565736959882,0.03504279419567675,0.035763720672710914,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.38620319745311094,0.03504279419567675,0.44699171799663184,0.13176229035458048
118,118,Hamina,Kymenlaakso,20286,Hamina,20286,0.4966479345361333,0.5033520654638667,1.0,0.0,0.0,0.0,0.0,0.0,0.052967563837129056,0.052967563837129056,0.052967563837129056,0.052967563837129056,0.03682342502218278,0.041457162575175,0.046485260770975055,0.054964014591343785,0.0598442275460909,0.05826678497485951,0.07325248940155772,0.07956225968648328,0.07660455486542443,0.08118899733806566,0.07906930888297348,0.053978112984324166,0.037168490584639655,0.03766144138814946,0.19,0.1145,0.3,0.2,0.1,0.055,0.0265,0.008,0.005,0.001,0.39426205264714587,0.026126392586019915,0.46514837819185645,0.11446317657497782
