"Postal code area","X coordinate in metres","Y coordinate in metres"
"02740  Bemböle-Pakankylä (Espoo)",370137,6683093
"02750  Sepänkylä-Kuurinniitty (Espoo)",373852,6675740
"02760  Tuomarila-Suvela (Espoo)",371473,6676012
"02770  Espoon Keskus (Espoo)",369563,6676446
"02780  Kauklahti (Espoo)",365403,6676226
"02810  Gumböle-Karhusuo (Espoo)",368308,6678951
"02820  Nupuri-Nuuksio (Espoo)",364679,6687658
"02860  Siikajärvi (Espoo)",362466,6685658
"02880  Veikkola (Kirkkonummi)",357425,6683304
"02920  Niipperi (Espoo)",374953,6683976
"02940  Lippajärvi-Järvenperä (Espoo)",372623,6682597
"02970  Kalajärvi (Espoo)",373910,6689826
"02980  Lakisto (Espoo)",368889,6690833
"03100  Nummela (Vihti)",351222,6692645
"03150  Huhmari (Vihti)",354333,6686771
"03220  Tervalampi (Vihti)",358276,6690871
"03250  Ojakkala (Vihti)",357215,6695844
"03300  Otalampi (Vihti)",362991,6695784
"03320  Selki (Vihti)",364556,6702514
"03400  Vihti Kirkonkylä (Vihti)",355142,6703707
"03430  Jokikunta (Vihti)",345401,6701910
"03600  Karkkila Keskus (Karkkila)",345560,6717928
"03620  Polari (Karkkila)",352995,6718085
"03710  Uusitalo (Karkkila)",357107,6713184
"03790  Vihtijärvi (Vihti)",365136,6712171
"03810  Ikkala (Lohja)",340801,6707145
"03850  Pusula (Lohja)",335047,6711922
"03870  Hyönölä (Lohja)",331034,6707644
"04130  Sipoo (Sipoo)",403872,6693290
"04150  Martinkylä (Sipoo)",401958,6696787
"04170  Paippinen (Sipoo)",403166,6702920
"04200  Kerava Keskus (Kerava)",396331,6699274
"04220  Ahjo-Kaskela (Kerava)",398070,6696314
"04230  Pihkaniitty (Kerava)",395132,6699725
"04240  Talma (Sipoo)",399945,6698919
"04250  Alikerava (Kerava)",396827,6695232
"04260  Savio (Kerava)",394609,6695346
"04300  Hyrylä (Tuusula)",390353,6699892
"04310  Tuusula Keskus (Tuusula)",392574,6699422
"04320  Riihikallio (Tuusula)",390958,6694137
"04330  Lahela (Tuusula)",388432,6696389
"04340  Mattila (Tuusula)",393238,6696875
"04350  Nahkela (Tuusula)",384754,6697391
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",387879,6692844
"04370  Rusutjärvi (Tuusula)",386946,6702811
"04380  Tuomala (Tuusula)",391537,6704951
"04390  Jäniksenlinna (Tuusula)",389299,6708271
"04400  Loutti (Järvenpää)",393874,6704922
"04410  Järvenpää Keskus (Järvenpää)",395630,6707295
"04420  Kyrölä (Järvenpää)",395705,6703579
"04430  Kinnari-Mikonkorpi (Järvenpää)",398221,6704567
"04440  Jamppa (Järvenpää)",393415,6709073
"04460  Nummenkylä (Järvenpää)",394880,6709606
"04480  Haarajoki (Mäntsälä)",399523,6709180
"04500  Kellokoski (Tuusula)",397187,6713229
"04530  Ohkola (Mäntsälä)",397526,6718788
"04600  Mäntsälä Keskus (Mäntsälä)",408679,6723827
"04620  Kaunismäki (Mäntsälä)",405825,6725665
"04630  Sääksjärvi (Mäntsälä)",413704,6721187
"04660  Numminen (Mäntsälä)",406857,6716392
"04680  Hirvihaara (Mäntsälä)",401015,6722527
"04740  Sälinkää (Mäntsälä)",402285,6731409
"04770  Sahakylä (Mäntsälä)",403056,6737721
"04820  Kaukalampi (Mäntsälä)",411182,6731028
"04840  Hautjärvi (Mäntsälä)",416757,6733383
"04920  Saarentaus (Mäntsälä)",411449,6734492
"04940  Levanto (Mäntsälä)",415215,6738008
"05100  Röykkä (Nurmijärvi)",368908,6709277
"05200  Rajamäki (Nurmijärvi)",376855,6712859
"05250  Kiljava (Nurmijärvi)",373983,6708933
"05400  Jokela (Tuusula)",388896,6714869
"05430  Nuppulinna (Tuusula)",391358,6710965
"05440  Hyvinkää (Hyvinkää)",383959,6719574
"05450  Nukari (Nurmijärvi)",385236,6712987
"05460  Hakalanmäki-Hakala (Hyvinkää)",383386,6721624
"05470  Palopuro (Hyvinkää)",387407,6718968
"05510  Päivärinta (Hyvinkää)",392292,6719660
"05620  Noppo (Hyvinkää)",380564,6716086
"05720  Kytäjä (Hyvinkää)",371579,6720344
"05800  Hyvinkää Keskus (Hyvinkää)",383361,6728575
"05810  Martti (Hyvinkää)",384655,6722542
"05820  Mustamännistö (Hyvinkää)",386255,6726608
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",381594,6722158
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",379894,6719444
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",381123,6721292
"05860  Talvisilta (Hyvinkää)",380680,6723426
"05880  Paavola-Vaivero (Hyvinkää)",380467,6726948
"05900  Vieremä (Hyvinkää)",381944,6723909
"05950  Ridasjärvi (Hyvinkää)",392511,6725568
"06100  Porvoo Keskus (Porvoo)",425269,6696044
"06150  Kevätkumpu (Porvoo)",428437,6696027
"06200  Porvoo itäinen (Porvoo)",434722,6690411
"06400  Gammelbacka (Porvoo)",424161,6693186
"06450  Eestinmäki-Ernestas (Porvoo)",423006,6693913
"06500  Saksala-Suomenkylä (Porvoo)",422756,6700400
"06530  Kerkkoo (Porvoo)",425142,6703884
"06650  Hamari (Porvoo)",424702,6692443
"06750  Tolkkinen (Porvoo)",421063,6691327
"06830  Kulloonkylä (Porvoo)",415178,6690737
"06850  Kulloo (Porvoo)",417526,6686632
"06880  Kärrby (Sipoo)",416761,6682953
"06950  Emäsalo (Porvoo)",423802,6681096
"07110  Hinthaara (Porvoo)",417376,6696826
"07130  Anttila (Porvoo)",412841,6695028
"07150  Laukkoski (Pornainen)",410514,6701384
"07170  Keski-Pornainen (Pornainen)",410623,6707209
"07190  Halkia (Pornainen)",406258,6709831
"07220  Kaarenkylä (Porvoo)",418149,6705788
"07230  Askola (Askola)",417487,6708778
"07280  Ilola (Porvoo)",432977,6704875
"07310  Sannainen (Porvoo)",433190,6698266
"07320  Jakari-Sannäs (Porvoo)",439777,6697147
"07350  Gäddrag (Porvoo)",438165,6684851
"07360  Tirmo (Porvoo)",439413,6680453
"07370  Pellinki (Porvoo)",438412,6675627
"07390  Suurpellinki (Porvoo)",435551,6675785
"07410  Kråkö (Porvoo)",426396,6690555
"07450  Voolahti (Porvoo)",435069,6685282
"07500  Askola Kirkonkylä (Askola)",424009,6713255
"07510  Askola (Askola)",420353,6710475
"07530  Askola (Askola)",421813,6715462
"07550  Torpinkylä (Pukkila)",418954,6720961
"07560  Pukkila Keskus (Pukkila)",419650,6725047
"07565  Kantele (Pukkila)",427596,6727051
"07580  Askola (Askola)",426513,6713339
"07590  Askola (Askola)",429204,6708995
"07600  Myrskylä Keskus (Myrskylä)",437191,6723140
"07680  Askola (Askola)",429457,6715434
"07690  Kankkila (Myrskylä)",430626,6721431
"07700  Koskenkylän saha-alue (Loviisa)",441147,6709725
"07720  Malmgård (Loviisa)",441375,6713349
"07740  Gammelby (Loviisa)",439138,6704028
"07750  Isnäs (Loviisa)",446010,6691394
"07780  Härkäpää (Loviisa)",443836,6686396
"07800  Lapinjärvi Keskus (Lapinjärvi)",456165,6722073
"07810  Ingermaninkylä (Lapinjärvi)",451906,6720940
"07820  Porlammi (Lapinjärvi)",446339,6726936
"07830  Pukaro (Lapinjärvi)",458695,6727556
"07840  Lindkoski (Lapinjärvi)",461802,6721486
"07850  Heikinkylä (Lapinjärvi)",460059,6716487
"07870  Skinnarby (Loviisa)",456175,6712987
"07880  Liljendal Keskus (Loviisa)",447126,6712609
"07890  Mickelspiltom (Loviisa)",445523,6721246
"07900  Loviisa Keskus (Loviisa)",453572,6700723
